date,news
2024-10-16,星昊医药10月15日获融资买入90.59万元，融资余额2163.25万元
2024-10-15,星昊医药的空中加油形态揭示了哪些市场动态？策略之王监测到，2024年10月15日星昊医药K线形态出现“空中加油”形态，短线投资者可积极关注，是捕捉个股力量爆发的一个参照物。 "空中加油"是在一段上升趋势中，股票价格可能会经历一段短暂的回调或盘整，之后继续其上升趋势。
2024-10-14,星昊医药（430017）4268.43万股限售股将于10月14日解禁，占总股本34.82%证券之星消息，根据市场公开信息整理，星昊医药（430017）于10月14日将有4268.43万股限售股份解禁，为公司公开发行原股东限售股份，占公司总股本34.82%。
2024-10-13,未来一个月限售股解禁及股权质押情况变化：2024年10月8日至2024年11月8日，共有21家医药上市公司发生或即将发生限售股解禁，其中百普赛斯、星昊医药、新赣江、拓新药业、中科美菱等公司涉及解禁股份占总股本比例较高。在股权质押方面，新天药业、羚锐制药、信立泰、莱茵生物、通化东宝等第一大股东质押比例提升较多，复星医药等第一大股东质押比例下降较多。
2024-10-11,10月10日晚间，北交所多家上市公司发布公告，以下是同壁财经整理的重要公告：星昊医药（430017）：本次已回购公司股份26.5万股 占预计回购股份总数量上限的52.249%.北京星昊医药股份有限公司是一家从事高端药物制剂研发产业化服务的创新型企业，专注于特色和高端药物制剂的研发，以自主研发的核心技术为基础，构建 GMP 条件下的技术平台，通过技术平台开展药品制造以及 CMC/CMO 的一体化服务。公司主要产品包括复方消化酶胶囊、吡拉西坦(小水针和粉针)、醋酸奥曲肽(小水针和粉针)、甲钴胺片、注射用硫普罗宁等。
2024-10-10,星昊医药（430017）本次已回购公司股份26.5万股 占预计回购股份总数量上限的52.249%
2024-10-09,星昊医药将于10月14日解禁4268.43万股，星昊医药（430017）10月9日主力资金净卖出1069.98万元
2024-10-08,加速上涨形K线形态分析：星昊医药的新视角？策略之王监测到，2024年10月08日星昊医药K线形态出现加速上涨形态，短线投资者可积极关注，是捕捉个股力量爆发的一个参照物。 加速上涨形是一种蜡烛图模式，它由一系列逐渐增长的阳线组成，这些阳线的实体部分逐渐变大，表明买方的控制力正在增强。
2024-10-07,北交所2024年上市/过会/暂缓审议的21家公司都采用第一套标准.采用标准三的只有创远信科（831961，2020年7月入精选层）一家。采用标准四的有星昊医药（430017）、康乐卫士（833575）、诺思兰德（430047，2020年11月入精选层）、连城数控（835368，2020年7月入精选层）等。 
2024-09-30,星昊医药：9月27日获融资买入82.38万元
2024-09-29,253只北交所股票今日上涨，3只涨停9.89 6.46 3330.44 833819 颖泰生物 2.62 8.71 1.07 3308.78 430017 星昊医药
2024-09-27,星昊医药上涨5.17%，报11.59元/股.9月27日，星昊医药盘中上涨5.17%，截至10:54，报11.59元/股，成交1292.46万元，换手率1.45%，总市值14.21亿元。
2024-09-26,星昊医药(430017)：CMC／CMO业务增长强劲 消化道与代谢药物市场表现突出 投资要点： 公司着重发展CMC/CMO 业务，药品研发制造领域的专精特新企业。
2024-09-25,星昊医药（430017）9月25日主力资金净卖出71.83万元 证券之星消息，截至2024年9月25日收盘，星昊医药(430017)报收于10.83元，上涨0.84%，换手率1.54%，成交量1.21万手，成交额1316.99万元。
2024-09-24,星昊医药：9月23日融资买入4.23万元，融资融券余额1473.65万元 证券之星消息，9月23日，星昊医药（430017）融资买入4.23万元，融资偿还11.48万元，融资净卖出7.25万元，融资余额1473.65万元。
2024-09-23,星昊医药：9月20日融资买入4036元，融资融券余额1480.89万元 证券之星消息，9月20日，星昊医药（430017）融资买入0.4万元，融资偿还28.35万元，融资净卖出27.94万元，融资余额1480.89万元，近20个交易日中有11个交易日出现融资净买入。
2024-09-22,【北交所观察】北证50样本第八次调整生效，下周瑞华技术上市+科隆新材上会 导读 ● 周专题：北证50样本股调整生效，铜冠矿建公布申购结果 ● 周观点：市场整体处低位进入窗口配置期，京港境内外两个市场共同促进 ● 市场情况：北证A股整体PE回落到17.8X，日均成交额维持在25亿元
2024-09-21,开源北交所深度 | 半年报行业专题全梳理 对2024H1北交所五大行业半年报企业的系统性总结，新能源产业链分化，锂电行业毛利率提升业绩高增长；医药生物多家业绩转好，盈利能力增强；石化产业链高成长性，低估值呈现高性价比；电子行业整体呈现上升趋势；
2024-09-20,星昊医药（430017）9月20日主力资金净卖出20.74万元
2024-09-19,北交所成交活跃股排行榜 6.28 1.13 1.03 353.15 837023 芭薇股份 8.59 0.70 1.24 348.19 430017 星昊医药
2024-09-18,星昊医药：9月13日融资买入30.06万元，融资融券余额1495.47万元
2024-09-13,星昊医药(430017)多个品种中标集采销量增加 盐酸纳洛酮注射液通过一致性评价.星昊医药2024H1营收3.21亿元，同比-2.92%，归母净利润6042.86万元，同比+13.16%。 公司复方消化酶胶囊国内市场占有率在复方消化酶类制剂中已经连续多年处于第一位
2024-09-12,深交所频发监管函，高销售费用率成IPO拦路虎？21世纪经济报道 见习记者李佳英 广州报道 近日，深交所对多家券商在保荐生物医药企业IPO过程中的违规行为进行了公开通报，并采取了书面警示的自律监管措施。
2024-09-11,星昊医药（430017）9月11日主力资金净卖出19.10万元
2024-09-09,【开源北交所】北证医药生物2024H1多家业绩转好，盈利能力增强_半年报专题系列一 导读 ● 2024H1业绩：北证43%的医药生物企业营收增长，扣非净利润同比增长20% ● 2024Q2业绩：北证医药生物企业营收同比增长5%，归母净利润同比增长19%
2024-09-06,星昊医药：9月5日融资买入46.32万元，融资融券余额1506.98万元 证券之星消息，9月5日，星昊医药（430017）融资买入46.32万元，融资偿还0.32万元，融资净买入46.0万元，融资余额1506.98万元。 融券方面，当日无融券交易。
2024-09-05,投行副总王昭凭被查，申万宏源承销保荐：已辞职 银柿财经梳理发现，王昭凭作为保荐业务部门负责人签字的项目共有7个，分别是星昊医药（430017.BJ）、云里物里（872374.BJ）、中纺标（873122.BJ）、时代银通、灿能电力（870299.BJ）、威贸电子（833346.BJ）、隆基电磁。
2024-09-03,星昊医药：9月2日融资买入9595元，融资融券余额1478.3万元
2024-09-02,星昊医药：已回购股份14万股，占预计回购股份上限的27.603%，已支付总金额为149.47万元 金融界9月2日消息，星昊医药公告，截至2024年8月31日，公司通过回购股份专用证券账户以竞价转让方式回购公司股份14万股，占公司总股本的0.114%，占预计回购股份总数量上限（总数量上限按11.83元/股的价格计算）的27.603%
2024-08-31,“药界清华”，如何改变南京？○ 南京的生物医药产业，有望成为我国产教融合的标杆。如今，仁迈生物研发的多款体外诊断仪器和70余项体外诊断试剂已进入国内20余省份的三甲医院，同时远销欧洲、东南亚、中东等10多个海外市场。南京完善的政策、优质的服务、健全的生态，让校友企业敢投资，让校友敢创业。这是一场创业者与城市的双向奔赴。
2024-08-30,星昊医药：8月29日融资买入9.66万元，融资融券余额1516.28万元
2024-08-29,开源证券：给予星昊医药买入评级 开源证券股份有限公司诸海滨近期对星昊医药进行研究并发布了研究报告《北交所信息更新：业务量增加，2024H1归母净利润+13%》，本报告对星昊医药给出买入评级，当前股价为10.66元。 
2024-08-28,北交所股票成交概况：157股上涨，72股下跌 0.19 478.01 835857 百甲科技 3.12 -0.64 1.29 472.17 430017 星昊医药
2024-08-27,星昊医药(430017.BJ)：2024年中报净利润为6042.86万元、较去年同期上涨13.16% 2024年8月26日，星昊医药(430017.BJ)发布2024年中报，营业总收入为3.21亿元，归母净利润为6042.86万元，同比较去年同期上涨13.16%。 
2024-08-26,星昊医药股东户数下降3.30%，户均持股11.76万元 星昊医药2024年8月26日在半年度报告中披露，截至2024年6月30日公司股东户数为7151户，较上期（2024年3月31日）减少244户，减幅为3.30%。 星昊医药股东户数低于行业平均水平。
2024-08-25,公允价值变动损益影响业绩，双鹭药业上半年净利锐减逾九成 8月25日晚间，双鹭药业（002038）交出了一份营业收入、归属净利润双双下滑的半年度答卷，其中归属净利润骤降逾九成。 财务数据显示，今年上半年，双鹭药业实现营业收入约为3.92亿元，同比下降32.81%；
2024-08-24,一文透视北交所250家上市公司！(净利润、发行费用、排队时长、中介排名等）以下文章来源于他山以微 ，作者他山以微 随着8月22日太湖远大（920118.BJ）登陆北交所上市，目前北交所上市公司家数已达250家。 本文从地区、行业、总市值、上市标准、净利润、发行费用、排队时长、中介排名等方面对这250家公司分析。选择“标准4”的北交所上市公司有4家（星昊医药、康乐卫士、诺思兰德、连城数控）。
2024-08-20,成份股调整预测：预计调整冲击系数绝对值大于1 北证50指数2024年9月定期调整，颖泰生物、惠丰钻石、鹿得医疗、广道数字、星辰科技等5只个股可能被调出指数，预期调入股资金总净买入额1.61亿元，广厦环能、五新隧装和机科股份本轮调整冲击系数大于1；颖泰生物受到流动性冲击影响可能较大，本轮调整冲击系数绝对值约为20，鹿得医疗、广道数字冲击系数绝对值均大于1。
2024-08-19,医药行业周报：医疗设备更新逐步进入落地阶段，继续重点关注创新药及医疗器械 本周，医疗设备更新再现进展。安徽省卫健委发布2024年9月至10月政府采购意向，为紧密型县域医共体设备更新一期项目，预算金额5.9亿元，预计采购时间为2024年10月，主要更新设备类型包括核磁共振成像系统（MR）、数字减影血管造影设备
2024-08-18,医药行业周报：持续看好创新药底部个股 2024年08月17日 证券研究报告•行业研究•医药生物 医药行业周报（8.12-8.16） 投资要点  行情回顾：本周医药生物指数上涨 0.05%，跑输沪深300指数0.37 个百分点，行业涨跌幅排名第 14。
2024-08-17,医药行业周报：持续看好创新药底部个股 行情回顾：本周医药生物指数上涨0.05%，跑输沪深300指数0.37个百分点，行业涨跌幅排名第14。2024年初以来至今，医药行业下跌21.08%，跑输沪深300指数18.59个百分点，行业涨跌幅排名第24。
2024-08-12,北交所策略专题报告：北交所新质生产力公司优选-人均创收和创利的深度剖析 人均创收和人均创利指标提供衡量新质生产力的新视角 鉴于人口红利结束，推动劳动力人均产出提升，推动劳动力高质量发展，形成高质量生产力，为加快发展新质生产力提供保障是当务之急。
2024-08-11,医药行业周报：成长穿越周期，继续关注创新+国际化 投资要点 回顾历史，医药行业经历多轮政策和产业周期，依托于爆品的成长股可穿越周期。如果以2018年底作为“鼓励创新药、推动仿制药集采”政策的第一次拐点，2018年底至今涨幅最靠前的医药公司，大多数是大产品放量型公司
2024-08-10,医药行业周报：看好创新药底部个股 行情回顾：本周医药生物指数下跌0.41%，跑赢沪深300指数1.15个百分点，行业涨跌幅排名第10。2024年初以来至今，医药行业下跌21.12%，跑输沪深300指数18.22个百分点，行业涨跌幅排名第25。
2024-08-09,2024年北交所中期策略：市场回调价值再现，乘势待时攻守有 投资要点： 北证缩量回调，北证整体估值水平有所下降。（1）2024年上半年市场表现方面，2024年上半年北证50从年初的1105.21点回调至708.97点，区间跌幅达34.52%，
